,ms_na_machovne,radnice,ms_tovarni,parkovaci_dum,zs_komenskeho,ms_pod_homolkou,ms_vrchlickeho,plavecky_areal,ms_preislerova,pristavba_preislerova,zs_preislerova,ms_drasarova,dum_pro_duchodce,zimni_stad
zs_preislerova,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0
zs_komenskeho,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
ms_preislerova,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
ms_pod_homolkou,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
ms_vrchlickeho,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ms_drasarova,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
ms_na_machovne,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0
parkovaci_dum,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
radnice,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
ms_tovarni,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0
dum_pro_duchodce,3.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plavecky_areal,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pristavba_preislerova,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
